Y;X1;X2;X3
107736480;163;918;720
17169070;211;206;395
184007424;263;911;768
241104600;450;738;726
189154944;944;506;396
716856;502;68;21
42201984;824;132;388
169270486;259;671;974
82108500;402;475;430
320064120;641;760;657
106088400;275;846;456
9641612;257;332;113
491367296;998;628;784
717656000;823;872;1000
34190100;469;108;675
59303472;776;282;271
144565890;679;282;755
30921000;825;40;937
131273100;450;469;622
293216121;983;393;759
666072;638;261;4
21680376;244;251;354
193397265;619;393;795
27768;178;52;3
72203910;174;557;745
31258656;121;936;276
316373760;640;947;522
116241468;346;798;421
17701740;420;63;669
494198094;694;961;741
40835016;369;522;212
835751;667;7;179
190130535;483;489;805
118196518;638;229;809
120387300;955;573;220
54142550;490;451;245
78290520;185;687;616
25857000;975;136;195
12757140;935;36;379
6245100;771;300;27
137665450;247;710;785
303998913;797;459;831
367092390;961;595;642
369569200;910;923;440
22933504;509;704;64
5592320;640;257;34
1807862;491;7;526
155089422;674;333;691
628968006;909;866;799
330877932;798;517;802
8502336;174;96;509
17039970;579;30;981
47095805;985;137;349
72698192;742;662;148
546114150;810;893;755
49332816;228;247;876
266742;73;58;63
17944784;299;341;176
42179778;227;837;222
17251906;419;238;173
119140065;235;891;569
125870220;335;588;639
78192540;865;243;372
800017725;997;823;975
2188578;749;487;6
90191970;699;345;374
5454792;168;237;137
56475720;921;120;511
26123328;88;342;868
38256036;78;742;661
379069160;505;929;808
16036200;60;590;453
4331664;24;666;271
79865982;762;713;147
61610250;445;923;150
50790965;445;367;311
298828992;464;748;861
50199044;766;217;302
326340000;450;784;925
7844697;521;21;717
67828992;992;148;462
58749840;144;885;461
68302656;841;216;376
58016640;737;205;384
285699792;343;938;888
1982016;248;9;888
56973690;789;415;174
552756;3;292;631
107640;130;1;828
170407104;921;448;413
103027008;932;141;784
421922718;943;954;469
4328717;151;109;263
56800284;284;409;489
8469624;116;566;129
1665168;113;921;16
117360252;964;243;501
189571200;784;650;372
39161958;649;339;178
326972256;592;949;582
282120384;728;402;964
163015406;673;862;281
113636250;625;351;518
177024120;696;301;845
172454310;630;827;331
164143584;202;912;891
134873875;475;545;521
61231800;488;717;175
202472640;458;720;614
604128;58;336;31
265298187;363;797;917
4551120;245;172;108
35603400;173;840;245
10661476;287;148;251
66995220;831;145;556
120443400;790;630;242
49579038;493;453;222
10921380;382;30;953
328464645;789;599;695
142002144;411;944;366
85184304;183;619;752
120925458;237;921;554
6234748;169;46;802
23552490;922;39;655
8147700;823;225;44
190343472;802;341;696
17139584;47;407;896
82565262;174;529;897
246666168;369;966;692
309605085;873;999;355
28599696;239;831;144
65639376;594;727;152
11864580;820;273;53
99124269;141;967;727
98441190;139;915;774
62735904;864;287;253
6247080;280;37;603
88088484;412;627;341
157240336;869;688;263
91983360;708;896;145
3624768;62;261;224
11993520;472;105;242
202818252;676;637;471
2860032;784;192;19
150906140;763;899;220
28934820;337;477;180
159869600;407;982;400
75336520;578;245;532
1173640;13;488;185
122950800;410;476;630
95269120;526;640;283
34194660;292;211;555
248327232;412;696;866
14282528;76;676;278
277146060;339;820;997
362207100;850;899;474
49716864;103;576;838
45172170;885;141;362
23182500;825;100;281
86468425;745;167;695
199603125;755;375;705
41941504;242;677;256
167879790;963;298;585
100865870;665;362;419
146652275;725;497;407
11610378;894;333;39
540582800;670;877;920
467975469;687;793;859
253900800;551;768;600
91008960;210;934;464
240554649;683;703;501
332865984;816;508;803
597433074;937;714;893
475156864;532;904;988
4136990;65;242;263
147937020;994;902;165
762521984;893;896;953
380513538;738;971;531
183093264;932;963;204
201100968;852;837;282
35798576;902;82;484
235292850;975;369;654
183463280;520;869;406
6991972;236;43;689
110259408;181;686;888
65672360;380;299;578
104829725;295;497;715
38030232;344;857;129
128319524;386;718;463
4224500;710;50;119
29157210;285;578;177
85282470;445;546;351
22426884;452;149;333
84363000;922;375;244
23417592;321;829;88
113536017;333;371;919
7714304;64;488;247
39898740;245;993;164
35704641;721;51;971
579207000;831;850;820
28864800;633;80;570
350225024;688;646;788
14334545;149;355;271
270344541;881;439;699
325312338;967;741;454
82169280;277;320;927
459602757;789;843;691
5869360;112;223;235
295741308;361;879;932
36288657;87;541;771
27418300;65;524;805
121659174;257;546;867
1543920;919;15;112
58321900;338;595;290
695253888;991;812;864
600476630;767;790;991
75670060;914;170;487
113893455;867;611;215
160070288;532;703;428
349582359;943;417;889
9938200;925;17;632
84639696;844;822;122
199961820;404;765;647
9350748;132;463;153
170079369;421;433;933
164832488;622;388;683
380740780;877;886;490
12966736;47;401;688
75703040;448;595;284
3320100;850;434;9
183087120;860;452;471
22465024;712;32;986
3339059;359;71;131
1312168;481;4;682
204076416;337;608;996
91879040;421;682;320
1198800;666;90;20
151321212;294;787;654
239496334;581;451;914
151331850;370;447;915
66913086;849;502;157
30989280;230;401;336
384726020;940;991;413
276212000;694;400;995
97585720;530;964;191
273088368;882;679;456
34021170;894;215;177
4885707;669;67;109
400016250;555;775;930
141646440;465;404;754
12810000;200;366;175
217386828;513;596;711
41153772;418;366;269
1174404;651;82;22
11715264;172;198;344
399494736;846;536;881
343961136;782;738;596
24570720;906;904;30
34807500;102;350;975
27233220;826;314;105
10533264;376;667;42
7749264;293;48;551
135610605;645;351;599
53775846;123;454;963
411543327;611;843;799
389186100;612;915;695
672176000;977;800;860
618985395;945;777;843
122548739;467;397;661
627355332;971;822;786
98234500;635;884;175
128524320;940;211;648
173314200;437;600;661
240251979;551;803;543
3983700;245;60;271
45029275;985;223;205
17462160;240;79;921
8196710;193;155;274
137712000;380;400;906
12233160;360;241;141
29196123;733;51;781
159193980;902;318;555
68817024;558;376;328
594499605;833;735;971
455603808;902;816;619
10809344;52;928;224
46926800;412;340;335
62392312;376;731;227
150368;508;1;296
4442220;6;870;851
65732472;306;972;221
13824756;66;431;486
4706400;185;48;530
60400428;814;249;298
114493106;637;223;806
928534440;993;964;970
43296660;591;180;407
111655440;395;302;936
109129600;509;335;640
247650546;481;538;957
992016;72;83;166
34398360;376;285;321
140706720;308;972;470
12612600;39;735;440
45565380;301;841;180
114019620;715;194;822
190479562;403;637;742
7524900;270;30;929
64427600;745;94;920
47500600;148;917;350
164043264;456;584;616
281952;176;18;89
217315840;670;362;896
88130736;172;774;662
262555712;617;488;872
19510968;204;97;986
111267975;273;685;595
69486934;341;733;278
134099460;786;605;282
61572160;494;328;380
15547392;128;241;504
69156864;144;938;512
396373440;760;701;744
2888701;37;773;101
4780464;312;326;47
5432735;55;959;103
26237310;946;215;129
6232302;51;438;279
24778656;482;504;102
352237500;606;930;625
29680128;144;228;904
719796000;875;912;902
12080640;968;20;624
190052736;536;356;996
3075225;15;655;313
20874160;886;31;760
45853350;145;498;635
202182015;705;773;371
1048662;23;149;306
1495791;3;521;957
62137530;843;126;585
33896070;195;666;261
49701744;474;136;771
239734032;316;993;764
148242875;275;655;823
12528180;183;163;420
600902910;765;934;841
436880592;898;699;696
555144240;673;840;982
117077853;579;883;229
23173920;240;726;133
92732;97;956;1
46354000;616;301;250
67739256;586;342;338
44685000;225;662;300
119276160;276;584;740
250996160;860;986;296
310041380;781;460;863
280053648;826;831;408
72054840;836;390;221
148516965;909;797;205
113736150;450;851;297
42691250;82;595;875
38073321;351;627;173
15484224;843;64;287
5969574;873;13;526
37839138;159;257;926
140576460;989;309;460
145638116;986;247;598
260619520;493;896;590
584171595;837;805;867
15347646;43;753;474
124208700;209;849;700
15702282;522;271;111
48106278;981;743;66
339987648;854;858;464
67036225;955;505;139
201719580;670;361;834
35343840;280;268;471
136650990;259;645;818
110949225;503;425;519
170236000;730;440;530
89369424;942;402;236
3896910;15;849;306
4461405;835;39;137
16154658;306;131;403
67067074;394;289;589
55344752;706;328;239
41980404;746;498;113
34735800;831;209;200
486756608;592;871;944
148269280;358;496;835
45490560;580;172;456
126604440;755;612;274
36264160;380;316;302
294580000;824;625;572
5093445;271;895;21
15233751;69;663;333
56867500;529;172;625
239549744;812;563;524
1046070;30;197;177
65841600;400;638;258
8868288;187;114;416
67570200;675;291;344
42324282;957;81;546
14960000;340;50;880
407743800;760;761;705
17570745;305;173;333
224111264;299;944;794
117987000;201;587;1000
87507810;233;390;963
43858948;973;382;118
32032000;715;256;175
87131682;418;477;437
159636100;281;950;598
450031162;742;617;983
167705824;572;547;536
57668960;298;236;820
380956161;617;743;831
40102480;176;229;995
103514000;709;200;730
20799480;995;26;804
26335750;250;149;707
441030814;983;511;878
54275130;705;329;234
138126762;837;218;757
74909520;334;534;420
163880;482;170;2
109496772;266;594;693
374450598;846;499;887
157861430;545;502;577
3113040;5;763;816
515625858;957;809;666
231187943;791;331;883
70164390;645;109;998
48769200;570;345;248
245524195;989;865;287
19848080;161;368;335
252370215;909;669;415
173105002;406;593;719
549170726;859;734;871
772378272;874;969;912
55509948;382;414;351
18041760;402;51;880
128428668;549;502;466
4325400;24;801;225
53586729;393;453;301
146666676;246;598;997
82047108;143;698;822
19597600;220;136;655
31989852;102;334;939
123624340;595;818;254
21660744;588;226;163
197531224;586;652;517
265489000;875;391;776
3249072;872;621;6
79194720;848;566;165
94501641;769;411;299
22974499;653;233;151
143415456;852;397;424
17220060;990;78;223
24235920;48;615;821
21396066;379;291;194
7870924;106;137;542
45116240;355;676;188
140032620;498;910;309
76275360;276;376;735
245936040;772;861;370
440810208;723;696;876
13809105;95;521;279
278117535;969;685;419
281621074;497;622;911
77096096;934;154;536
4150440;504;549;15
53832390;523;730;141
93857456;232;407;994
54898176;347;512;309
5903794;481;722;17
37079120;808;353;130
301061704;788;578;661
4407480;24;231;795
29164800;588;50;992
26282880;48;648;845
105957592;719;338;436
61090240;928;454;145
43959790;265;287;578
347679000;900;489;790
51620296;86;679;884
430175018;679;826;767
44077250;445;350;283
33326160;239;210;664
26675950;383;995;70
37522930;685;898;61
55989024;812;312;221
9904713;71;273;511
197851290;598;805;411
289895240;461;790;796
14253120;294;240;202
71762968;542;419;316
146234;374;391;1
19032384;28;833;816
29940064;232;419;308
241540236;342;854;827
323460104;817;968;409
145566080;580;506;496
45981600;920;85;588
126420480;864;310;472
77710080;896;413;210
521212845;893;835;699
39525200;275;691;208
230893845;611;885;427
2234232;693;104;31
62767184;764;94;874
78835302;117;854;789
6797175;535;77;165
423276014;994;479;889
767531700;999;975;788
139952840;302;940;493
15972520;83;566;340
4138200;44;627;150
6666660;420;143;111
135860494;506;847;317
206675118;327;666;949
196812000;900;497;440
3596970;138;65;401
709244120;962;965;764
212267952;432;559;879
493977808;713;817;848
350660772;924;849;447
65563452;267;342;718
274727532;753;788;463
78550560;360;836;261
11076340;23;995;484
93000;150;310;2
350172240;803;474;920
59560800;650;368;249
353577984;768;716;643
162133658;773;398;527
352662660;411;908;945
18986496;94;263;768
11672448;226;96;538
45818695;223;545;377
329618020;911;458;790
53033400;540;427;230
134911008;438;368;837
121112352;612;232;853
1383382;182;11;691
9600444;581;162;102
449648640;768;680;861
50794100;745;140;487
792188019;999;921;861
260143650;366;729;975
1369446;543;194;13
7517664;226;154;216
66500532;646;342;301
34198704;744;282;163
1456000;260;80;70
115953795;155;927;807
9960720;245;84;484
238289016;332;743;966
174306600;573;520;585
374205216;744;994;506
30232440;868;215;162
11523930;66;743;235
248310924;404;789;779
185710635;765;319;761
9310308;46;474;427
262336500;601;582;750
291997440;816;994;360
1647100;65;140;181
23708160;980;126;192
348807200;995;560;626
169778180;377;506;890
9523332;42;702;323
3721686;219;586;29
19118580;386;195;254
45800664;469;626;156
68362452;668;747;137
45031280;388;829;140
1634346;42;51;763
274134147;599;777;589
98315424;684;226;636
218547840;336;808;805
198498960;792;710;353
66088008;763;108;802
3233370;865;14;267
23239620;141;205;804
232647120;555;568;738
162336932;958;439;386
111574400;586;448;425
2184000;600;7;520
128957538;761;926;183
653181750;822;975;815
325447980;457;858;830
155344640;704;295;748
44555304;398;114;982
30313350;795;615;62
16289520;454;312;115
295865112;382;817;948
17273130;70;991;249
31998192;419;111;688
21096416;88;821;292
306058194;949;414;779
13522236;58;546;427
136417248;894;264;578
226927664;617;724;508
144622478;371;517;754
38761632;348;221;504
41793528;141;632;469
61108880;119;560;917
41432616;57;977;744
138567870;438;345;917
7390544;151;133;368
110604312;331;357;936
51085548;541;387;244
46626580;119;685;572
960102;39;373;66
246184890;903;274;995
81107590;542;865;173
160809090;470;849;403
219547845;661;495;671
181209120;408;838;530
72425136;581;392;318
29251830;185;361;438
125413860;429;622;470
33106164;637;366;142
83701536;842;114;872
480945960;915;968;543
94378968;747;136;929
83830808;718;404;289
271056093;343;847;933
97064456;632;401;383
154269912;487;788;402
238964256;324;948;778
234699660;402;585;998
56091220;997;580;97
241847151;533;861;527
4857920;608;799;10
16178400;168;642;150
178581522;966;829;223
27992960;191;916;160
4026672;648;26;239
6820164;507;708;19
190733400;650;741;396
317118592;932;496;686
21616020;123;348;505
43993692;846;321;162
136266936;494;543;508
103501050;795;470;277
49837036;439;202;562
495676818;669;966;767
63905568;226;688;411
342250;370;37;25
13662594;297;902;51
5635344;24;821;286
37623420;57;772;855
28286524;389;686;106
18506250;525;750;47
90774684;687;182;726
151395616;328;514;898
139150;121;2;575
21205800;770;153;180
115623990;345;433;774
79578450;735;270;401
250793400;962;660;395
99345870;494;205;981
27878860;710;677;58
162203496;591;338;812
159859196;794;394;511
99254508;613;393;412
2707290;999;5;542
252963440;932;410;662
613431;91;7;963
952128;783;38;32
213289956;531;537;748
146087375;575;427;595
40649014;679;74;809
29267925;555;53;995
5831820;358;362;45
10958068;127;148;583
283410000;564;670;750
47829900;465;556;185
326347844;859;604;629
418627032;978;452;947
216000;60;16;225
89098464;992;637;141
2845010;679;5;838
150841988;349;836;517
334950;6;145;385
352170693;959;609;603
28338093;477;943;63
20393815;899;65;349
231712145;521;917;485
180590940;543;345;964
263593580;635;628;661
126171552;939;304;442
327901500;681;642;750
12293244;102;758;159
274536000;372;984;750
56513600;572;475;208
64018752;654;736;133
391591260;918;482;885
7985358;86;171;543
260306264;838;983;316
50004864;106;576;819
282795240;987;290;988
148127408;641;572;404
106232490;221;735;654
126707535;417;431;705
24011208;503;204;234
94907800;173;844;650
3152290;190;47;353
190773908;988;547;353
42490305;781;465;117
197917044;642;923;334
40943955;257;645;247
45122320;179;685;368
18528064;64;943;307
1179724;926;91;14
53990400;114;800;592
37750750;635;410;145
12903168;424;32;951
38187971;103;499;743
236853464;584;431;941
184099664;833;727;304
79622322;442;447;403
90909000;500;182;999
142063152;266;578;924
179974696;872;319;647
229597384;839;316;866
515310768;651;828;956
94141630;643;242;605
280668672;474;768;771
117908211;237;997;499
1653250;778;25;85
66643556;569;188;623
347608800;945;968;380
14077248;314;934;48
228790260;335;933;732
13398930;159;795;106
30645780;787;660;59
123070200;348;550;643
68224492;938;82;887
82286160;220;426;878
72535680;280;771;336
342630;18;705;27
36795200;116;793;400
18645120;664;130;216
548156840;665;986;836
187596945;501;477;785
24225760;520;76;613
15724800;720;260;84
17958600;99;200;907
15688768;632;214;116
189506304;444;832;513
35030880;153;480;477
97320104;952;677;151
7455996;527;54;262
332891000;883;500;754
976300;751;325;4
221199104;476;548;848
316682433;563;753;747
9185022;282;987;33
23907600;900;916;29
102993300;475;684;317
921978;18;391;131
14182740;260;87;627
111120240;336;385;859
20826666;98;459;463
8827020;190;261;178
14822912;884;128;131
28008516;83;366;922
566058918;842;831;809
119033733;631;273;691
35122464;767;159;288
166526640;329;720;703
190366846;478;443;899
136710930;555;274;899
5819352;188;134;231
76222720;224;940;362
25137756;41;756;811
123827886;669;226;819
47774720;868;80;688
293359752;476;678;909
53973986;823;121;542
119402010;717;390;427
208466100;570;438;835
121523200;470;808;320
42422549;283;887;169
47400240;277;460;372
114576345;615;663;281
4755219;617;21;367
29003898;937;66;469
2757618;669;9;458
635140384;844;872;863
110970832;167;698;952
45878274;102;741;607
3411360;20;618;276
198824856;339;668;878
101716929;179;927;613
96085928;541;596;298
18884484;523;612;59
111739980;561;230;866
59189616;216;419;654
102030608;703;772;188
17166864;533;33;976
93807296;704;587;227
658350740;835;898;878
14288400;54;882;300
242602608;712;654;521
169326045;903;463;405
1781505;649;61;45
54412740;657;164;505
145646514;969;611;246
27578096;728;806;47
3434400;530;20;324
114549162;221;602;861
43688480;412;440;241
173090492;956;331;547
67943403;759;159;563
110983356;517;356;603
126864888;606;263;796
2384280;537;40;111
3777543;253;79;189
232195656;308;778;969
74717280;360;356;583
275952168;849;348;934
18743400;540;890;39
82215945;723;399;285
7692960;440;372;47
353128545;759;633;735
265713825;289;975;943
34629210;263;627;210
234397800;477;936;525
361224;29;692;18
279878742;681;479;858
34466580;830;769;54
911736;4;567;402
196436463;669;613;479
713592;102;33;212
7073919;219;37;873
9157680;46;210;948
36504198;339;262;411
1299480;204;65;98
117935885;731;205;787
12989592;213;504;121
15082848;368;253;162
421589584;806;866;604
31047120;214;806;180
6201720;460;42;321
123966576;636;444;439
200478432;733;352;777
206477216;358;904;638
80311000;875;616;149
304005096;747;547;744
32087160;642;170;294
865604520;907;964;990
16788184;28;758;791
19989684;39;726;706
29931418;298;253;397
17696250;65;605;450
944442;739;18;71
29206296;694;126;334
2375784;153;647;24
76533120;824;688;135
29058372;867;196;171
548296512;816;971;692
767211032;862;931;956
115081884;591;324;601
683691624;847;999;808
48920300;311;650;242
15045360;44;834;410
51867340;119;703;620
59846094;778;999;77
6700260;159;980;43
2562168;56;151;303
187614804;678;734;377
602010220;898;785;854
28318842;453;69;906
153458448;208;849;869
95199195;719;291;455
42490032;457;312;298
198144540;229;874;990
417120;79;480;11
120386318;643;758;247
298212250;805;775;478
201021840;920;597;366
76448394;297;719;358
14288670;849;198;85
315800595;495;977;653
13590849;47;853;339
1750212;797;732;3
82087005;363;637;355
407500800;560;960;758
177383304;952;309;603
12570880;224;92;610
39846240;354;335;336
64941888;951;97;704
163038960;574;540;526
280084924;692;863;469
117191360;176;788;845
46416188;884;91;577
340326168;791;728;591
261497080;383;845;808
13161984;384;451;76
14199120;205;481;144
79213376;968;424;193
6706386;291;167;138
75423390;571;357;370
70536284;658;806;133
1134000;25;560;81
8669115;435;273;73
253862308;746;446;763
323090766;491;789;834
19993800;709;141;200
73994024;403;472;389
9917928;12;991;834
6246464;191;511;64
21906808;854;44;583
25459680;155;348;472
74997900;846;150;591
133512192;396;768;439
182063000;1000;217;839
15235830;54;365;773
36172800;360;320;314
82722750;275;813;370
141472494;414;883;387
1676064;17;416;237
7607721;187;573;71
409435988;932;719;611
145009764;669;669;324
240580584;837;589;488
191664438;461;798;521
273456000;1000;432;633
48995832;152;773;417
64788030;723;515;174
164086884;478;489;702
30786834;393;299;262
8058960;180;82;546
65019900;187;380;915
77570304;376;672;307
195901875;625;513;611
11771032;703;184;91
